symbol,vol_abs,correlation_btc,cluster,distance_to_centroid
ETH/USDT,0.007636339928813789,0.8968887715957046,0,1.3681394208321487
BNB/USDT,0.0057416777234293075,0.8701758001517196,0,1.6500737700658403
XRP/USDT,0.007951181520048492,0.7884798386035384,0,0.891673894029754
SOL/USDT,0.008186402982239974,0.8601422678042433,0,1.131850866784954
ADA/USDT,0.008239483212821593,0.8206955105490302,0,0.9601957570415683
DOGE/USDT,0.00791221280678577,0.8114485083585691,0,0.9826606496780829
LINK/USDT,0.007760636900420144,0.8639220906367582,0,1.213715057083012
BCH/USDT,0.0071878498060795725,0.6802726395976351,0,0.8512750504758667
AVAX/USDT,0.007550209086206546,0.8351080393313819,0,1.140231509414913
LTC/USDT,0.007137978376096303,0.8222233005211755,0,1.1803858370662703
XLM/USDT,0.007630040683345905,0.7954023505778763,0,0.9836144087678551
HBAR/USDT,0.008368895272483686,0.7611179646378402,0,0.7091681802010591
WLFI/USDT,0.011202307803278409,0.48606573835653083,0,0.889027808966568
SHIB/USDT,0.007709249949341024,0.8012569893202459,0,0.9866644317609597
SUI/USDT,0.009320641734448163,0.8390261034125843,0,0.9145483344444998
ZEC/USDT,0.01211371249316325,0.5857229289115957,0,0.7248885010547521
NEAR/USDT,0.008977268719419104,0.7710315814667055,0,0.640495958320775
ASTER/USDT,0.010025468027660401,0.6052927609053329,0,0.2337908798947222
AAVE/USDT,0.009036654972459032,0.8014386295138658,0,0.7661006262345489
SKY/USDT,0.0076070565684105374,0.6069144365544136,0,0.7496387982972526
TON/USDT,0.0070338294708123545,0.660966882026199,0,0.8888140051158059
DOT/USDT,0.008880784962113895,0.7334554573027061,0,0.5066254243243773
UNI/USDT,0.009757257386301208,0.6554335101561138,0,0.06582846678067356
TAO/USDT,0.010493902681503664,0.6829451250436436,0,0.21116814519351945
ETC/USDT,0.00765916043736523,0.7898482680641792,0,0.9587929156050887
PEPE/USDT,0.010134522015758625,0.7275840036855558,0,0.3593387683462836
ENA/USDT,0.009700357838921989,0.7752049959612052,0,0.5912789735058226
ATOM/USDT,0.008438879800162322,0.6277519463869737,0,0.4801820104973176
WLD/USDT,0.010050483341702568,0.5631831739812941,0,0.43679604844825826
POL/USDT,0.0099846539891489,0.666486416859736,0,0.061707928387716895
ONDO/USDT,0.009585374553015407,0.8135646589255618,0,0.7792094777179046
ICP/USDT,0.010053158883421906,0.7276888946033162,0,0.35734458425730736
PENGU/USDT,0.01118233215192182,0.8013461490043963,0,0.7997472500213967
JUP/USDT,0.0110109030294159,0.7137990683883301,0,0.4267662530294328
ZRO/USDT,0.016539565392284718,0.3810329428326155,0,2.3794864392990718
NEXO/USDT,0.009138814314507372,0.5388105435629396,0,0.608335160859298
DCR/USDT,0.016576046287614454,0.23626190947949496,0,2.8329578178880435
BONK/USDT,0.00953985578770376,0.7897199843898388,0,0.6683994701444633
